SCHL,gmajor,_FREQ_,radj_wagp,pct,pct_gmajor,major_occ,source,target
Bachelors,Agriculture and natural resources,62,83000,0.0452896077,0.0025563521,Business and financial operations,Major: Agricultural economics,Occ: Credit counselors and loan officers
Bachelors,Agriculture and natural resources,51,125000,0.0344719952,0.0019457567,Management,Major: Agricultural economics,Occ: Chief executives
Bachelors,Agriculture and natural resources,122,53000,0.0711387269,0.0040153943,Management,Major: Agricultural economics,"Occ: Farmers, ranchers, and other agricultural managers"
Bachelors,Agriculture and natural resources,71,88000,0.0562827991,0.0031768579,Management,Major: Agricultural economics,"Occ: Managers, all other"
Bachelors,Agriculture and natural resources,77,90000,0.06102343,0.0034444408,Sales and related,Major: Agricultural economics,"Occ: Sales representatives, wholesale and manufacturing"
Bachelors,Agriculture and natural resources,79,43000,0.0199061113,0.0033315715,"Education, training, and library",Major: Animal sciences,Occ: Elementary and middle school teachers
Bachelors,Agriculture and natural resources,130,36000,0.0280975205,0.0047025206,"Farming, fisheries, and forestry",Major: Animal sciences,Occ: Miscellaneous agricultural workers
Bachelors,Agriculture and natural resources,127,34000,0.0461679667,0.0077268673,Healthcare practitioners and technical,Major: Animal sciences,Occ: Health practitioner support technologists and technicians
Bachelors,Agriculture and natural resources,62,58000,0.0179553058,0.0030050764,Healthcare practitioners and technical,Major: Animal sciences,Occ: Registered nurses
Bachelors,Agriculture and natural resources,325,41000,0.0709724749,0.0118782553,Management,Major: Animal sciences,"Occ: Farmers, ranchers, and other agricultural managers"
Bachelors,Agriculture and natural resources,63,77000,0.0194027838,0.0032473324,Management,Major: Animal sciences,Occ: General and operations managers
Bachelors,Agriculture and natural resources,192,66000,0.0586064077,0.0098086177,Management,Major: Animal sciences,"Occ: Managers, all other"
Bachelors,Agriculture and natural resources,50,50000,0.0182645398,0.0030568311,Office and administrative support,Major: Animal sciences,Occ: Customer service representatives
Bachelors,Agriculture and natural resources,61,55000,0.0161295098,0.0026995034,Office and administrative support,Major: Animal sciences,Occ: First-line supervisors of office and administrative support workers
Bachelors,Agriculture and natural resources,75,34000,0.0164420334,0.0027518087,Office and administrative support,Major: Animal sciences,Occ: Secretaries and administrative assistants
Bachelors,Agriculture and natural resources,64,33000,0.0211002806,0.0035314327,Personal care and service,Major: Animal sciences,Occ: Nonfarm animal caretakers
Bachelors,Agriculture and natural resources,59,56000,0.0141260687,0.002364199,Production,Major: Animal sciences,Occ: First-line supervisors of production and operating workers
Bachelors,Agriculture and natural resources,69,75000,0.0201363919,0.0033701122,Sales and related,Major: Animal sciences,Occ: First-line supervisors of non-retail sales workers
Bachelors,Agriculture and natural resources,68,44000,0.0230181889,0.003852422,Sales and related,Major: Animal sciences,Occ: First-line supervisors of retail sales workers
Bachelors,Agriculture and natural resources,68,50000,0.0153333969,0.0025662625,Sales and related,Major: Animal sciences,Occ: Retail salespersons
Bachelors,Agriculture and natural resources,140,76000,0.037519286,0.0062793873,Sales and related,Major: Animal sciences,"Occ: Sales representatives, wholesale and manufacturing"
Bachelors,Agriculture and natural resources,61,99000,0.0931974004,0.0037345975,Management,Major: Food science,"Occ: Managers, all other"
Bachelors,Agriculture and natural resources,53,74000,0.0242778406,0.002294275,"Farming, fisheries, and forestry",Major: Forestry,"Occ: First-line supervisors of farming, fishing, and forestry workers"
Bachelors,Agriculture and natural resources,361,55000,0.1605588506,0.0151729378,"Life, physical, and social sciences",Major: Forestry,Occ: Conservation scientists and foresters
Bachelors,Agriculture and natural resources,141,80000,0.0743425116,0.0070254259,Management,Major: Forestry,"Occ: Managers, all other"
Bachelors,Agriculture and natural resources,67,51000,0.017410432,0.0028195302,"Education, training, and library",Major: General agriculture,Occ: Elementary and middle school teachers
Bachelors,Agriculture and natural resources,102,38000,0.0327503791,0.0053037561,"Farming, fisheries, and forestry",Major: General agriculture,Occ: Miscellaneous agricultural workers
Bachelors,Agriculture and natural resources,57,56000,0.0169208592,0.0027402464,"Life, physical, and social sciences",Major: General agriculture,Occ: Agricultural and food scientists
Bachelors,Agriculture and natural resources,322,54000,0.0873853414,0.0141516082,Management,Major: General agriculture,"Occ: Farmers, ranchers, and other agricultural managers"
Bachelors,Agriculture and natural resources,156,68000,0.0416952817,0.0067523372,Management,Major: General agriculture,"Occ: Managers, all other"
Bachelors,Agriculture and natural resources,79,65000,0.0257297694,0.0041668043,Sales and related,Major: General agriculture,Occ: First-line supervisors of non-retail sales workers
