SCHL,gmajor,_FREQ_,radj_wagp,pct,major_occ,source,target,pct_gmajor
Bachelors,Agriculture and natural resources,249,55000,0.0116497638,Business and financial operations,Major: Agriculture and natural resources,Occ: Accountants and auditors,0.0116497638
Bachelors,Agriculture and natural resources,334,55000,0.0154608922,"Life, physical, and social sciences",Major: Agriculture and natural resources,Occ: Agricultural and food scientists,0.0154608922
Bachelors,Agriculture and natural resources,248,52000,0.0122603592,"Life, physical, and social sciences",Major: Agriculture and natural resources,Occ: Biological scientists,0.0122603592
Bachelors,Agriculture and natural resources,298,110000,0.0134787971,Management,Major: Agriculture and natural resources,Occ: Chief executives,0.0134787971
Bachelors,Agriculture and natural resources,595,57000,0.0252491383,"Life, physical, and social sciences",Major: Agriculture and natural resources,Occ: Conservation scientists and foresters,0.0252491383
Bachelors,Agriculture and natural resources,308,71000,0.0129684076,Business and financial operations,Major: Agriculture and natural resources,Occ: Credit counselors and loan officers,0.0129684076
Bachelors,Agriculture and natural resources,223,50000,0.0121133538,Office and administrative support,Major: Agriculture and natural resources,Occ: Customer service representatives,0.0121133538
Bachelors,Agriculture and natural resources,343,46000,0.01528856,"Education, training, and library",Major: Agriculture and natural resources,Occ: Elementary and middle school teachers,0.01528856
Bachelors,Agriculture and natural resources,1425,51000,0.0546661822,Management,Major: Agriculture and natural resources,"Occ: Farmers, ranchers, and other agricultural managers",0.0546661822
Bachelors,Agriculture and natural resources,228,76000,0.0116618766,Management,Major: Agriculture and natural resources,Occ: Financial managers,0.0116618766
Bachelors,Agriculture and natural resources,338,52000,0.0182870294,Building and grounds cleaning and maintenance,Major: Agriculture and natural resources,"Occ: First-line supervisors of landscaping, lawn service, and groundskeeping workers",0.0182870294
Bachelors,Agriculture and natural resources,464,72000,0.0212634755,Sales and related,Major: Agriculture and natural resources,Occ: First-line supervisors of non-retail sales workers,0.0212634755
Bachelors,Agriculture and natural resources,312,64000,0.0154983317,Office and administrative support,Major: Agriculture and natural resources,Occ: First-line supervisors of office and administrative support workers,0.0154983317
Bachelors,Agriculture and natural resources,266,64000,0.0118160396,Production,Major: Agriculture and natural resources,Occ: First-line supervisors of production and operating workers,0.0118160396
Bachelors,Agriculture and natural resources,506,49000,0.0266889102,Sales and related,Major: Agriculture and natural resources,Occ: First-line supervisors of retail sales workers,0.0266889102
Bachelors,Agriculture and natural resources,381,76000,0.019147589,Management,Major: Agriculture and natural resources,Occ: General and operations managers,0.019147589
Bachelors,Agriculture and natural resources,277,40000,0.0153392135,Building and grounds cleaning and maintenance,Major: Agriculture and natural resources,Occ: Grounds maintenance workers,0.0153392135
Bachelors,Agriculture and natural resources,1225,74000,0.0577791726,Management,Major: Agriculture and natural resources,"Occ: Managers, all other",0.0577791726
Bachelors,Agriculture and natural resources,330,84000,0.0175784304,Management,Major: Agriculture and natural resources,Occ: Marketing and sales managers,0.0175784304
Bachelors,Agriculture and natural resources,460,37000,0.0187864072,"Farming, fisheries, and forestry",Major: Agriculture and natural resources,Occ: Miscellaneous agricultural workers,0.0187864072
Bachelors,Agriculture and natural resources,216,62000,0.0105959499,Protective service,Major: Agriculture and natural resources,Occ: Police and sheriff's patrol officers,0.0105959499
Bachelors,Agriculture and natural resources,443,53000,0.0191591512,Sales and related,Major: Agriculture and natural resources,Occ: Retail salespersons,0.0191591512
Bachelors,Agriculture and natural resources,785,77000,0.0371037186,Sales and related,Major: Agriculture and natural resources,"Occ: Sales representatives, wholesale and manufacturing",0.0371037186
Bachelors,Agriculture and natural resources,258,36000,0.0103608514,Office and administrative support,Major: Agriculture and natural resources,Occ: Secretaries and administrative assistants,0.0103608514
Bachelors,Architecture and engineering,2477,98000,0.0213840723,Architecture and engineering,Major: Architecture and engineering,Occ: Aerospace engineers,0.0213840723
Bachelors,Architecture and engineering,2585,72000,0.0231661152,Architecture and engineering,Major: Architecture and engineering,"Occ: Architects, except naval",0.0231661152
Bachelors,Architecture and engineering,2725,120000,0.022984578,Management,Major: Architecture and engineering,Occ: Architectural and engineering managers,0.022984578
Bachelors,Architecture and engineering,1318,99000,0.0119414784,Architecture and engineering,Major: Architecture and engineering,Occ: Chemical engineers,0.0119414784
Bachelors,Architecture and engineering,1944,143000,0.0174913047,Management,Major: Architecture and engineering,Occ: Chief executives,0.0174913047
Bachelors,Architecture and engineering,6702,83000,0.0597460394,Architecture and engineering,Major: Architecture and engineering,Occ: Civil engineers,0.0597460394
Bachelors,Architecture and engineering,1571,113000,0.0144349557,Management,Major: Architecture and engineering,Occ: Computer and information systems managers,0.0144349557
Bachelors,Architecture and engineering,1260,85000,0.0120996143,Computer and mathematical,Major: Architecture and engineering,Occ: Computer programmers,0.0120996143
Bachelors,Architecture and engineering,1136,86000,0.0113786067,Computer and mathematical,Major: Architecture and engineering,Occ: Computer systems analysts,0.0113786067
Bachelors,Architecture and engineering,2569,91000,0.0231018503,Management,Major: Architecture and engineering,Occ: Construction managers,0.0231018503
Bachelors,Architecture and engineering,1639,66000,0.0160804912,"Arts, design, entertainment, sports, and media",Major: Architecture and engineering,Occ: Designers,0.0160804912
Bachelors,Architecture and engineering,3989,90000,0.0377037175,Architecture and engineering,Major: Architecture and engineering,Occ: Electrical and electronics engineers,0.0377037175
Bachelors,Architecture and engineering,8263,88000,0.0727598991,Architecture and engineering,Major: Architecture and engineering,"Occ: Engineers, all other",0.0727598991
Bachelors,Architecture and engineering,1203,80000,0.0105724148,Production,Major: Architecture and engineering,Occ: First-line supervisors of production and operating workers,0.0105724148
Bachelors,Architecture and engineering,1118,54000,0.010925916,Sales and related,Major: Architecture and engineering,Occ: First-line supervisors of retail sales workers,0.010925916
Bachelors,Architecture and engineering,1685,114000,0.0152155302,Management,Major: Architecture and engineering,Occ: General and operations managers,0.0152155302
Bachelors,Architecture and engineering,2853,80000,0.0258526531,Architecture and engineering,Major: Architecture and engineering,"Occ: Industrial engineers, including health and safety",0.0258526531
Bachelors,Architecture and engineering,8943,103000,0.0792624413,Management,Major: Architecture and engineering,"Occ: Managers, all other",0.0792624413
Bachelors,Architecture and engineering,4822,81000,0.0442326747,Architecture and engineering,Major: Architecture and engineering,Occ: Mechanical engineers,0.0442326747
Bachelors,Architecture and engineering,1912,99000,0.0171762739,Sales and related,Major: Architecture and engineering,"Occ: Sales representatives, wholesale and manufacturing",0.0171762739
Bachelors,Architecture and engineering,5202,98000,0.0507094222,Computer and mathematical,Major: Architecture and engineering,"Occ: Software developers, applications and systems software",0.0507094222
Bachelors,Arts,494,52000,0.0114331554,Business and financial operations,Major: Arts,Occ: Accountants and auditors,0.0114331554
Bachelors,Arts,1260,64000,0.0278459696,"Arts, design, entertainment, sports, and media",Major: Arts,Occ: Artists and related workers,0.0278459696
Bachelors,Arts,453,102000,0.0114022774,Management,Major: Arts,Occ: Chief executives,0.0114022774
Bachelors,Arts,761,36000,0.0183261838,Office and administrative support,Major: Arts,Occ: Customer service representatives,0.0183261838
Bachelors,Arts,6847,52000,0.1566548209,"Arts, design, entertainment, sports, and media",Major: Arts,Occ: Designers,0.1566548209
Bachelors,Arts,1262,45000,0.0282765576,"Education, training, and library",Major: Arts,Occ: Elementary and middle school teachers,0.0282765576
Bachelors,Arts,468,46000,0.0104495322,Office and administrative support,Major: Arts,Occ: First-line supervisors of office and administrative support workers,0.0104495322
Bachelors,Arts,1268,44000,0.0305576945,Sales and related,Major: Arts,Occ: First-line supervisors of retail sales workers,0.0305576945
Bachelors,Arts,535,67000,0.0129020951,Management,Major: Arts,Occ: General and operations managers,0.0129020951
Bachelors,Arts,1991,66000,0.0450362699,Management,Major: Arts,"Occ: Managers, all other",0.0450362699
Bachelors,Arts,756,63000,0.0179286033,Management,Major: Arts,Occ: Marketing and sales managers,0.0179286033
Bachelors,Arts,586,65000,0.0143723126,"Arts, design, entertainment, sports, and media",Major: Arts,Occ: Producers and directors,0.0143723126
Bachelors,Arts,953,38000,0.0234310582,Sales and related,Major: Arts,Occ: Retail salespersons,0.0234310582
Bachelors,Arts,597,63000,0.0139370396,Sales and related,Major: Arts,"Occ: Sales representatives, wholesale and manufacturing",0.0139370396
Bachelors,Arts,576,45000,0.0132183281,"Education, training, and library",Major: Arts,Occ: Secondary school teachers,0.0132183281
Bachelors,Arts,1100,40000,0.0251747054,Office and administrative support,Major: Arts,Occ: Secretaries and administrative assistants,0.0251747054
Bachelors,Arts,424,80000,0.0100826167,Computer and mathematical,Major: Arts,"Occ: Software developers, applications and systems software",0.0100826167
Bachelors,Arts,370,28000,0.0108786295,Food preparation and serving related,Major: Arts,Occ: Waiters and waitresses,0.0108786295
Bachelors,Arts,635,62000,0.0144413089,Computer and mathematical,Major: Arts,Occ: Web developers,0.0144413089
Bachelors,Biology and life sciences,400,60000,0.0114186848,Business and financial operations,Major: Biology and life sciences,Occ: Accountants and auditors,0.0114186848
Bachelors,Biology and life sciences,994,55000,0.0266594438,"Life, physical, and social sciences",Major: Biology and life sciences,Occ: Biological scientists,0.0266594438
Bachelors,Biology and life sciences,577,59000,0.015133598,"Life, physical, and social sciences",Major: Biology and life sciences,Occ: Chemists and materials scientists,0.015133598
Bachelors,Biology and life sciences,1580,50000,0.0442209492,Healthcare practitioners and technical,Major: Biology and life sciences,Occ: Clinical laboratory technologists and technicians,0.0442209492
Bachelors,Biology and life sciences,409,67000,0.0100999874,Business and financial operations,Major: Biology and life sciences,Occ: Compliance officers,0.0100999874
Bachelors,Biology and life sciences,963,45000,0.0239162307,"Education, training, and library",Major: Biology and life sciences,Occ: Elementary and middle school teachers,0.0239162307
Bachelors,Biology and life sciences,442,56000,0.01168135,"Life, physical, and social sciences",Major: Biology and life sciences,Occ: Environmental scientists and geoscientists,0.01168135
Bachelors,Biology and life sciences,390,73000,0.0108157366,Sales and related,Major: Biology and life sciences,Occ: First-line supervisors of non-retail sales workers,0.0108157366
