SCHL,gmajor,_FREQ_,radj_wagp,pct,pct_gmajor,source,target
Bachelors,Business,27901,70000,0.503076653,0.0852268754,Major: Accounting,Occ: Business and financial operations
Bachelors,Business,1504,85000,0.0281691898,0.0047721794,Major: Accounting,Occ: Computer and mathematical
Bachelors,Business,854,45000,0.0155924756,0.0026415417,Major: Accounting,"Occ: Education, training, and library"
Bachelors,Business,585,62000,0.0110170801,0.001866418,Major: Accounting,Occ: Healthcare practitioners and technical
Bachelors,Business,10354,98000,0.1882467023,0.0318911207,Major: Accounting,Occ: Management
Bachelors,Business,5234,45000,0.0973224025,0.0164875158,Major: Accounting,Occ: Office and administrative support
Bachelors,Business,544,39000,0.0111353487,0.001886454,Major: Accounting,Occ: Production
Bachelors,Business,572,76000,0.0111376332,0.001886841,Major: Accounting,Occ: Protective service
Bachelors,Business,3550,60000,0.067855597,0.0114955057,Major: Accounting,Occ: Sales and related
Bachelors,Business,522,39000,0.0112163618,0.0019001786,Major: Accounting,Occ: Transportation and material moving
Bachelors,Business,88,74000,0.1955378838,0.0002635349,Major: Actuarial science,Occ: Business and financial operations
Bachelors,Business,193,93000,0.4405345704,0.0005937276,Major: Actuarial science,Occ: Computer and mathematical
Bachelors,Business,52,128000,0.1116633532,0.0001504936,Major: Actuarial science,Occ: Management
Bachelors,Communications and journalism,624,57000,0.0966535546,0.0103739285,Major: Advertising and public relations,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Communications and journalism,814,55000,0.1284441253,0.0137860442,Major: Advertising and public relations,Occ: Business and financial operations
Bachelors,Communications and journalism,100,40000,0.016321832,0.0017518395,Major: Advertising and public relations,Occ: Community and social service
Bachelors,Communications and journalism,198,60000,0.029373718,0.0031527123,Major: Advertising and public relations,Occ: Computer and mathematical
Bachelors,Communications and journalism,224,44000,0.0312502294,0.0033541203,Major: Advertising and public relations,"Occ: Education, training, and library"
Bachelors,Communications and journalism,89,28000,0.0152631741,0.0016382127,Major: Advertising and public relations,Occ: Food preparation and serving related
Bachelors,Communications and journalism,105,54000,0.0162660359,0.0017458509,Major: Advertising and public relations,Occ: Healthcare practitioners and technical
Bachelors,Communications and journalism,1719,70000,0.2667333283,0.0286287711,Major: Advertising and public relations,Occ: Management
Bachelors,Communications and journalism,866,44000,0.1366094463,0.0146624368,Major: Advertising and public relations,Occ: Office and administrative support
Bachelors,Communications and journalism,70,74000,0.0113559777,0.0012188491,Major: Advertising and public relations,Occ: Protective service
Bachelors,Communications and journalism,1197,63000,0.1886275771,0.0202455979,Major: Advertising and public relations,Occ: Sales and related
Bachelors,Architecture and engineering,865,89000,0.3977486272,0.0077110764,Major: Aerospace engineering,Occ: Architecture and engineering
Bachelors,Architecture and engineering,94,72000,0.0506055937,0.000981081,Major: Aerospace engineering,Occ: Business and financial operations
Bachelors,Architecture and engineering,222,103000,0.0980106167,0.0019001131,Major: Aerospace engineering,Occ: Computer and mathematical
Bachelors,Architecture and engineering,56,63000,0.0281055823,0.0005448775,Major: Aerospace engineering,"Occ: Installation, maintenance and repair"
Bachelors,Architecture and engineering,360,110000,0.1580578938,0.0030642381,Major: Aerospace engineering,Occ: Management
Bachelors,Architecture and engineering,79,88000,0.0380593569,0.0007378495,Major: Aerospace engineering,Occ: Sales and related
Bachelors,Architecture and engineering,217,90000,0.1050061497,0.0020357341,Major: Aerospace engineering,Occ: Transportation and material moving
Bachelors,Agriculture and natural resources,202,71000,0.1552312765,0.0087619614,Major: Agricultural economics,Occ: Business and financial operations
Bachelors,Agriculture and natural resources,424,84000,0.3181685167,0.0179588825,Major: Agricultural economics,Occ: Management
Bachelors,Agriculture and natural resources,96,57000,0.0672759906,0.0037973638,Major: Agricultural economics,Occ: Office and administrative support
Bachelors,Agriculture and natural resources,274,72000,0.2227316179,0.0125719886,Major: Agricultural economics,Occ: Sales and related
Bachelors,Agriculture and natural resources,251,64000,0.0698046234,0.0116827987,Major: Animal sciences,Occ: Business and financial operations
Bachelors,Agriculture and natural resources,56,80000,0.0175276419,0.0029335007,Major: Animal sciences,Occ: Computer and mathematical
Bachelors,Agriculture and natural resources,60,62000,0.0173401277,0.0029021175,Major: Animal sciences,Occ: Construction and extraction
Bachelors,Agriculture and natural resources,193,42000,0.057464874,0.0096175658,Major: Animal sciences,"Occ: Education, training, and library"
Bachelors,Agriculture and natural resources,198,40000,0.0453488257,0.0075897724,Major: Animal sciences,"Occ: Farming, fisheries, and forestry"
Bachelors,Agriculture and natural resources,289,41000,0.0929116348,0.0155500864,Major: Animal sciences,Occ: Healthcare practitioners and technical
Bachelors,Agriculture and natural resources,183,53000,0.0503393349,0.0084250052,Major: Animal sciences,"Occ: Life, physical, and social sciences"
Bachelors,Agriculture and natural resources,867,60000,0.230037141,0.0384999945,Major: Animal sciences,Occ: Management
Bachelors,Agriculture and natural resources,352,41000,0.1041559065,0.0174319756,Major: Animal sciences,Occ: Office and administrative support
Bachelors,Agriculture and natural resources,112,31000,0.0364106495,0.0060938412,Major: Animal sciences,Occ: Personal care and service
Bachelors,Agriculture and natural resources,155,52000,0.0403813446,0.0067583936,Major: Animal sciences,Occ: Production
Bachelors,Agriculture and natural resources,69,54000,0.0195508213,0.0032721086,Major: Animal sciences,Occ: Protective service
Bachelors,Agriculture and natural resources,430,59000,0.1202821266,0.0201309284,Major: Animal sciences,Occ: Sales and related
Bachelors,Agriculture and natural resources,73,44000,0.0219720571,0.0036773369,Major: Animal sciences,Occ: Transportation and material moving
Bachelors,Social sciences,55,62000,0.0160077877,0.0007143824,Major: Anthropology and archeology,Occ: Architecture and engineering
Bachelors,Social sciences,137,58000,0.0397112518,0.001772201,Major: Anthropology and archeology,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Social sciences,345,53000,0.0992265274,0.0044281997,Major: Anthropology and archeology,Occ: Business and financial operations
Bachelors,Social sciences,127,41000,0.0369554242,0.0016492162,Major: Anthropology and archeology,Occ: Community and social service
Bachelors,Social sciences,201,71000,0.0546116877,0.0024371654,Major: Anthropology and archeology,Occ: Computer and mathematical
Bachelors,Social sciences,243,43000,0.0695093344,0.0031020053,Major: Anthropology and archeology,"Occ: Education, training, and library"
Bachelors,Social sciences,96,29000,0.0265401812,0.0011844133,Major: Anthropology and archeology,Occ: Food preparation and serving related
Bachelors,Social sciences,178,52000,0.0491000326,0.0021911958,Major: Anthropology and archeology,Occ: Healthcare practitioners and technical
