SCHL,gmajor,_FREQ_,radj_wagp,pct,pct_overall,source,target
Bachelors,Agriculture and natural resources,506,65000,0.0271139595,0.000416403,Major: Agriculture and natural resources,Occ: Architecture and engineering
Bachelors,Agriculture and natural resources,241,49000,0.0130829287,0.0002009213,Major: Agriculture and natural resources,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Agriculture and natural resources,769,43000,0.042245053,0.000648779,Major: Agriculture and natural resources,Occ: Building and grounds cleaning and maintenance
Bachelors,Agriculture and natural resources,1656,64000,0.0759940757,0.0011670801,Major: Agriculture and natural resources,Occ: Business and financial operations
Bachelors,Agriculture and natural resources,154,41000,0.0079201216,0.0001216334,Major: Agriculture and natural resources,Occ: Community and social service
Bachelors,Agriculture and natural resources,394,74000,0.0207828174,0.0003191724,Major: Agriculture and natural resources,Occ: Computer and mathematical
Bachelors,Agriculture and natural resources,449,51000,0.0236337309,0.0003629553,Major: Agriculture and natural resources,Occ: Construction and extraction
Bachelors,Agriculture and natural resources,831,44000,0.0396011584,0.0006081753,Major: Agriculture and natural resources,"Occ: Education, training, and library"
Bachelors,Agriculture and natural resources,811,44000,0.0347681499,0.0005339523,Major: Agriculture and natural resources,"Occ: Farming, fisheries, and forestry"
Bachelors,Agriculture and natural resources,149,28000,0.0105238237,0.0001616198,Major: Agriculture and natural resources,Occ: Food preparation and serving related
Bachelors,Agriculture and natural resources,674,50000,0.0360069594,0.0005529774,Major: Agriculture and natural resources,Occ: Healthcare practitioners and technical
Bachelors,Agriculture and natural resources,99,32000,0.0050807704,0.000078028,Major: Agriculture and natural resources,Occ: Healthcare support
Bachelors,Agriculture and natural resources,313,50000,0.0156326737,0.000240079,Major: Agriculture and natural resources,"Occ: Installation, maintenance and repair"
Bachelors,Agriculture and natural resources,63,56000,0.0030755509,0.0000472328,Major: Agriculture and natural resources,Occ: Legal
Bachelors,Agriculture and natural resources,1789,54000,0.0829270038,0.0012735526,Major: Agriculture and natural resources,"Occ: Life, physical, and social sciences"
Bachelors,Agriculture and natural resources,5004,68000,0.2297270215,0.0035280359,Major: Agriculture and natural resources,Occ: Management
Bachelors,Agriculture and natural resources,1578,43000,0.0770858798,0.0011838475,Major: Agriculture and natural resources,Occ: Office and administrative support
Bachelors,Agriculture and natural resources,322,35000,0.0180023785,0.0002764718,Major: Agriculture and natural resources,Occ: Personal care and service
Bachelors,Agriculture and natural resources,819,54000,0.039016991,0.000599204,Major: Agriculture and natural resources,Occ: Production
Bachelors,Agriculture and natural resources,658,61000,0.0329187451,0.0005055501,Major: Agriculture and natural resources,Occ: Protective service
Bachelors,Agriculture and natural resources,2858,61000,0.138849614,0.0021323849,Major: Agriculture and natural resources,Occ: Sales and related
Bachelors,Agriculture and natural resources,498,49000,0.0260105932,0.000399458,Major: Agriculture and natural resources,Occ: Transportation and material moving
Bachelors,Architecture and engineering,37710,84000,0.3391601635,0.0323528125,Major: Architecture and engineering,Occ: Architecture and engineering
Bachelors,Architecture and engineering,2317,66000,0.0229847553,0.0021925378,Major: Architecture and engineering,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Architecture and engineering,620,39000,0.0057742659,0.0005508128,Major: Architecture and engineering,Occ: Building and grounds cleaning and maintenance
Bachelors,Architecture and engineering,4616,82000,0.0430953193,0.0041109037,Major: Architecture and engineering,Occ: Business and financial operations
Bachelors,Architecture and engineering,444,44000,0.00422792,0.0004033053,Major: Architecture and engineering,Occ: Community and social service
Bachelors,Architecture and engineering,10983,91000,0.107411611,0.0102460963,Major: Architecture and engineering,Occ: Computer and mathematical
Bachelors,Architecture and engineering,2364,58000,0.0235714715,0.0022485052,Major: Architecture and engineering,Occ: Construction and extraction
Bachelors,Architecture and engineering,1629,47000,0.014663916,0.001398805,Major: Architecture and engineering,"Occ: Education, training, and library"
Bachelors,Architecture and engineering,112,44000,0.0009567933,0.0000912694,Major: Architecture and engineering,"Occ: Farming, fisheries, and forestry"
Bachelors,Architecture and engineering,489,28000,0.0059090006,0.0005636652,Major: Architecture and engineering,Occ: Food preparation and serving related
